SKU,BrandId,Brand,ModelId,Model,Finish,RimWidth,RimDiameter,Size,BoltPattern1,Hubbore,Offset,warranty,MaxWheelLoad,Weight,LipSize,construction,USRetail,UAERetailIncludingVat,brandLogo,image1,image2,image3,image4,image5,image6,image7,image8,image9
HF7-0B05,,Vossen,,HF-7,Gloss Black,9.5,20,20x9.5,5x120,72.6,20mm,5 Years,1650Kg,,,Hybrid Forged,2700,2700,0,Vossen-HF-7-C25-Gloss-Black-Hybrid-Forged-Series-\u00a9-Vossen-Wheels-2021-crop0802.jpeg,,,,,,,,
HF7-2B44,,Vossen,,HF-7,Gloss Black,10.5,22,22x10.5,5x120,72.6,38mm,5 Years,1650Kg,,,Hybrid Forged,3300,3300,0,Vossen-HF-7-C25-Gloss-Black-Hybrid-Forged-Series-\u00a9-Vossen-Wheels-2021-crop0802.jpeg,,,,,,,,
HF7-3B51,,Vossen,,HF-7,Gloss Black,10,23,23x10,5x120,72.6,32mm,5 Years,1650Kg,,,Hybrid Forged,3500,3500,0,Vossen-HF-7-C25-Gloss-Black-Hybrid-Forged-Series-\u00a9-Vossen-Wheels-2021-crop0802.jpeg,,,,,,,,
HF2-2B45,,Vossen,,HF-2,Gloss Black,10.5,22,22x10.5,5x120,72.6,38mm,5 Years,1650Kg,,,Hybrid Forged,3300,3300,0,HF-2-Gloss-Black-1.jpeg,,,,,,,,
HF2-4B62,,Vossen,,HF-2,Gloss Black,10,24,24x10,5x120,72.6,32mm,5 Years,1650Kg,,,Hybrid Forged,3500,3500,0,HF-2-Gloss-Black-1.jpeg,,,,,,,,
HF63-2G23,,Vossen,,HF6-3,Gloss Black,9.5,22,22x9.5,6x139.7,106.1,20mm,5 Years,1650Kg,,,Hybrid Forged,3000,3000,0,Main_Vossen-HF6-3-C25-Gloss-Black.jpeg,,,,,,,,
HF65-2G20-TL,,Vossen,,HF6-5,Silver Polished,9.5,22,22x9.5,6x139.7,95.1,30mm,5 Years,1650Kg,,,Hybrid Forged,3000,3000,0,Thumbnail_Silver_Polished_HF6-5.jpeg,,,,,,,,
HFX1-2G20,,Vossen,,HFX-1,Gloss Black,9.5,22,22x9.5,6x139.7,106.1,20mm,5 Years,1650Kg,,,Hybrid Forged,3000,3000,0,Angled-HFX-1-Gloss-Black-Vossen-Hybrid-Forged-Wheel-6-Lug.jpg,,,,,,,,
HF2-4B63,,Vossen,,HF-2,Silver Polished,10,24,24x10,5x120,72.6,32mm,5 Years,1650Kg,,,Hybrid Forged,3500,3500,0,hf2polished.jpeg,,,,,,,,
V-FF 108,,Vorsteiner,,V-FF108,Carbon Graphite,8.5,18,18x8.5,5x112,72.6,45mm,1 Year,1725Kg,10 kg,,FlowForm,2790,2790,0,V-FF108_CarbonGraphite_700x.webp,,,,,,,,
W01974206H1,,OZ Racing,,Leggera HLT,Grigio Corsa Bright,8,18,18x8,5x112,72.6,48mm,1 Year,1725Kg,10 kg,,Cast,1990,1990,0,OZ Racing W01974206H1 Grigio Corsa Bright.webp,,,,,,,,
SVT,,Stuttgart,,SVT,Silver,8.5,19,19x8.5,5x112,73.1,42mm,1 Year,1725Kg,14 Kg's,,Cast,1100,1100,0,s-l1200.webp,,,,,,,,
RR7-H-1785-0139-MF,,Relations Race Wheels,,RR7-H Flow Form,Machine Face,8.5,17,17x8.5,6x139.7,106.1,0mm,1 Year,1725,10.5 kg,,FlowForm Hybrid Beadlock,1200,1200,0,RR7-H MachineFace.webp,,,,,,,,
RR7-H-1785-25139-MF,,Relations Race Wheels,,RR7-H Flow Form,Machine Face,8.5,17,17x8.5,6x139.7,106.1,-25mm,1 Year,1725,10.5 kg,,FlowForm Hybrid Beadlock,1200,1200,0,RR7-H MachineFace.webp,,,,,,,,
RR7-H-1785-0150-MF,,Relations Race Wheels,,RR7-H Flow Form,Machine Face,8.5,17,17x8.5,5x150,110.1,0mm,1 Year,1725,10.5 kg,,FlowForm Hybrid Beadlock,1200,1200,0,RR7-H MachineFace.webp,,,,,,,,
RR7-S-1785-25139-BR,,Relations Race Wheels,,RR7-S Flow Form,Matte Bronze,8.5,17,17x8.5,6x139.7,106.1,-25mm,1 Year,1725,9.5 kg,,FlowForm,1100,1100,0,RR7-SFFMatteBronzeFront_46283b93-ec30-476a-8163-09b98fc93671_2000x.webp,,,,,,,,
RR7-S-1785-0139-BR,,Relations Race Wheels,,RR7-S Flow Form,Matte Bronze,8.5,17,17x8.5,6x139.7,106.1,0mm,1 Year,1725,9.5 kg,,FlowForm,1100,1100,0,RR7-SFFMatteBronzeFront_46283b93-ec30-476a-8163-09b98fc93671_2000x.webp,,,,,,,,
RR7-S-1785-25139-BK,,Relations Race Wheels,,RR7-S Flow Form,Matte Black,8.5,17,17x8.5,6x139.7,106.1,-25mm,1 Year,1725,9.5 kg,,FlowForm,1100,1100,0,RR7-SFFMatteBlackFront_1f936ffd-99b3-4886-b9f7-2df1d0d0224b_2000x.webp,,,,,,,,
